"skills","skill_id","no_of_jobs_for_skill"
"sql",0,"9015"
"python",1,"5384"
"excel",181,"5311"
"tableau",182,"4744"
"power bi",183,"3070"
"r",5,"2656"
"looker",185,"1216"
"sas",7,"1134"
"sas",186,"1134"
"azure",74,"989"
"powerpoint",196,"974"
"go",8,"967"
"aws",76,"958"
"snowflake",80,"853"
"word",188,"845"
"sql server",61,"740"
"oracle",79,"727"
"flow",215,"592"
"sap",189,"557"
"sheets",192,"538"
"jira",233,"496"
"bigquery",77,"495"
"spark",92,"465"
"javascript",9,"456"
"redshift",78,"393"
"qlik",187,"389"
"databricks",75,"386"
"vba",22,"381"
"spss",199,"363"
"pandas",93,"359"
"hadoop",97,"339"
"java",4,"338"
"git",210,"336"
"alteryx",201,"328"
"gcp",81,"324"
"airflow",96,"307"
"dax",184,"304"
"ssis",194,"298"
"ssrs",197,"292"
"mysql",56,"290"
"sharepoint",195,"277"
"outlook",198,"253"
"c",26,"245"
"confluence",234,"228"
"numpy",94,"216"
"nosql",2,"215"
"spreadsheet",190,"208"
"postgresql",57,"207"
"github",216,"189"
"gdpr",105,"167"
"visio",204,"165"
"matplotlib",108,"159"
"windows",170,"156"
"pyspark",95,"155"
"t-sql",16,"154"
"html",10,"152"
"cognos",200,"144"
"scala",3,"139"
"microstrategy",191,"133"
"linux",169,"132"
"slack",247,"132"
"c#",14,"129"
"mongodb",18,"126"
"mongodb",62,"126"
"express",141,"123"
"ms access",202,"123"
"jupyter",102,"120"
"shell",6,"102"
"c++",13,"98"
"kafka",98,"97"
"zoom",248,"96"
"crystal",23,"91"
"docker",214,"89"
"matlab",15,"89"
"css",11,"85"
"unix",168,"72"
"php",25,"71"
"scikit-learn",106,"69"
"powershell",20,"69"
"gitlab",220,"68"
"db2",67,"64"
"tensorflow",99,"61"
"plotly",112,"58"
"atlassian",219,"57"
"seaborn",120,"55"
"bash",12,"55"
"kubernetes",213,"53"
"react",110,"52"
"spring",104,"50"
"splunk",193,"50"
"bitbucket",218,"44"
"visual basic",21,"44"
"jenkins",211,"42"
"swift",35,"41"
"ruby",144,"41"
"ruby",30,"41"
"notion",238,"41"
"phoenix",137,"40"
"smartsheet",236,"39"
"pytorch",101,"39"
"perl",31,"36"
"elasticsearch",59,"36"
"node.js",145,"35"
"planner",235,"35"
"microsoft teams",249,"34"
"terraform",212,"34"
"chef",221,"32"
"asana",237,"32"
"unity",225,"32"
"firebase",82,"30"
"firebase",66,"30"
"cassandra",63,"28"
"terminal",226,"27"
"vue",138,"24"
"mongo",24,"23"
"dynamodb",64,"23"
"unify",252,"21"
"angular",136,"21"
"julia",29,"20"
"assembly",32,"19"
"node",154,"19"
"typescript",17,"17"
"no-sql",28,"17"
"macos",176,"17"
"jquery",148,"16"
"aurora",83,"16"
"trello",239,"16"
"airtable",232,"15"
"ggplot2",115,"15"
"keras",100,"15"
"ansible",223,"14"
"dplyr",119,"12"
"flask",142,"12"
"webex",255,"12"
"django",139,"12"
"clickup",242,"11"
"monday.com",241,"11"
"graphql",116,"10"
"arch",177,"10"
"npm",229,"9"
"wire",253,"9"
"vb.net",42,"9"
"groovy",33,"9"
"redis",55,"9"
"tidyverse",107,"8"
"rust",39,"8"
"cobol",46,"8"
"mariadb",60,"7"
"golang",27,"7"
"ruby on rails",153,"7"
"google chat",257,"6"
"datarobot",206,"6"
"asp.net",149,"6"
"opencv",122,"6"
"ubuntu",171,"5"
"heroku",86,"5"
"selenium",124,"5"
"twilio",250,"5"
"wrike",240,"5"
"svn",224,"4"
"symfony",155,"4"
"workfront",243,"4"
"redhat",173,"4"
"tidyr",126,"4"
"vmware",73,"4"
"nltk",103,"4"
"sqlite",70,"4"
"fastapi",143,"4"
"sass",47,"3"
"neo4j",58,"3"
"dart",37,"3"
"powerbi",203,"3"
"firestore",68,"3"
"yarn",217,"3"
"rshiny",111,"3"
"ibm cloud",84,"3"
"watson",85,"3"
"ringcentral",251,"3"
"symphony",254,"3"
"kotlin",19,"2"
"colocation",88,"2"
"apl",36,"2"
"cordova",125,"2"
"mxnet",109,"2"
"wsl",174,"2"
"vue.js",140,"2"
"kali",179,"2"
"clojure",40,"2"
"puppet",222,"2"
"pascal",45,"2"
"erlang",51,"1"
"mattermost",256,"1"
"asp.net core",150,"1"
"drupal",151,"1"
"laravel",156,"1"
"blazor",160,"1"
"next.js",157,"1"
"powerbi",205,"1"
"unreal",227,"1"
"objective-c",34,"1"
"shogun",134,"1"
"solidity",38,"1"
"flutter",113,"1"
"debian",178,"1"
"elixir",41,"1"
"fortran",44,"1"
"couchbase",65,"1"
