"skills","freq","avg_salary"
"bitbucket","2","189155"
"angular","1","185000"
"keras","1","185000"
"fastapi","1","185000"
"pyspark","4","182586"
"golang","2","161750"
"couchbase","1","160515"
"watson","1","160515"
"gitlab","3","154500"
"jupyter","6","151138"
"swift","3","147833"
"pandas","13","146476"
"numpy","8","142920"
"flask","2","142000"
"tensorflow","1","140000"
"pytorch","1","140000"
"cassandra","1","140000"
"kafka","1","140000"
"linux","3","139338"
"rust","2","138000"
"databricks","18","135379"
"scala","6","133836"
"microstrategy","4","130185"
"zoom","5","129348"
"datarobot","2","128993"
"elasticsearch","2","128750"
"twilio","1","127000"
"scikit-learn","6","125894"
"jenkins","3","125436"
"notion","1","125000"
"ggplot2","2","124500"
"airflow","8","124039"
"react","2","123750"
"atlassian","7","121687"
"kubernetes","3","121333"
"unity","2","120000"
"go","40","118777"
"css","2","118750"
"snowflake","63","115615"
"c","17","115614"
"hadoop","26","115471"
"bigquery","20","115240"
"crystal","7","114782"
"asana","1","114500"
"db2","4","114072"
"postgresql","6","113836"
"azure","41","113543"
"java","21","113129"
"aws","38","112958"
"looker","81","111849"
"confluence","13","111716"
"ibm cloud","1","111500"
"git","6","111133"
"gcp","5","110800"
"oracle","47","108575"
"nosql","17","108552"
"spark","17","108324"
"ssis","18","107946"
"html","11","107708"
"c++","14","107039"
"github","9","107039"
"jira","30","106739"
"python","308","106138"
"dax","12","105208"
"qlik","19","104958"
"r","189","104267"
"tableau","310","103785"
"sap","9","102818"
"sql server","45","102785"
"sas","82","102204"
"sas","82","102204"
"redshift","22","102072"
"sql","525","101923"
"javascript","23","101663"
"ssrs","16","101389"
"flow","42","100967"
"t-sql","12","100690"
"spss","32","100586"
"power bi","141","100458"
"slack","4","99650"
"ms access","10","99561"
"alteryx","28","99532"
"matlab","6","99333"
"terraform","1","99000"
"vue.js","1","99000"
"redis","1","99000"
"docker","1","99000"
"ansible","1","99000"
"shell","4","98861"
"unix","4","98461"
"plotly","5","97800"
"phoenix","4","97230"
"bash","6","96558"
"visio","11","96220"
"powershell","4","95275"
"mariadb","1","95000"
"php","1","95000"
"mongodb","5","94612"
"mongodb","5","94612"
"mysql","10","94302"
"vba","32","93759"
"cognos","4","93264"
"outlook","16","93213"
"windows","8","93149"
"matplotlib","6","92585"
"pascal","1","92000"
"powerpoint","72","90284"
"vb.net","1","90000"
"clickup","1","90000"
"excel","304","89986"
"sqlite","3","89167"
"sheets","35","88650"
"microsoft teams","4","87854"
"spreadsheet","8","87412"
"c#","10","86540"
"word","60","86163"
"express","8","85293"
"chef","1","85000"
"sharepoint","20","84112"
"node.js","1","83500"
"arch","2","82750"
"spring","2","82000"
"webex","2","81250"
"terminal","4","80625"
"seaborn","3","77500"
"planner","5","76800"
"visual basic","3","73383"
"erlang","1","72500"
"julia","2","71148"
"colocation","1","67500"
"sass","1","67500"
"ruby","3","66186"
"ruby","3","66186"
"smartsheet","5","63000"
"ruby on rails","1","51059"
"wire","1","42500"
